employee_id,first_name,last_name,department_id,hire_date,salary,gender,email,phone_number
1,John,Doe,101,5/10/2020,60000,M,john.doe@example.com,555-1234
2,Jane,Smith,102,11/15/2018,75000,F,jane.smith@example.com,555-5678
3,Emily,Johnson,101,3/22/2019,58000,F,emily.johnson@example.com,555-4321
4,Michael,Brown,103,6/1/2021,65000,M,michael.brown@example.com,555-8765
5,Sarah,Davis,102,8/9/2020,72000,F,sarah.davis@example.com,555-3456
6,William,Taylor,101,7/12/2021,67000,M,william.taylor@example.com,555-6789
7,Olivia,Wilson,103,3/25/2022,71000,F,olivia.wilson@example.com,555-2345
8,David,Harris,102,2/28/2021,79000,M,david.harris@example.com,555-4567
9,Sophia,Martinez,101,4/14/2023,62000,F,sophia.martinez@example.com,555-1122
10,James,Clark,103,9/3/2019,64000,M,james.clark@example.com,555-3344
11,Isabella,Lewis,101,1/20/2020,63000,F,isabella.lewis@example.com,555-2233
12,Benjamin,Walker,102,11/6/2022,68000,M,benjamin.walker@example.com,555-6789
13,Charlotte,Allen,103,8/19/2021,69000,F,charlotte.allen@example.com,555-9988
14,Alexander,Young,101,1/10/2024,71000,M,alexander.young@example.com,555-7755
15,Mia,King,102,12/5/2020,76000,F,mia.king@example.com,555-8899
16,Lucas,Scott,103,9/14/2023,74000,M,lucas.scott@example.com,555-3322
17,Zoe,Wright,101,6/20/2022,69000,F,zoe.wright@example.com,555-1239
18,Ethan,Cooper,102,2/12/2023,70000,M,ethan.cooper@example.com,555-8761
19,Lily,Foster,103,10/1/2021,66000,F,lily.foster@example.com,555-5432
20,Noah,Jenkins,102,3/17/2020,73000,M,noah.jenkins@example.com,555-6548
21,Grace,Mitchell,101,1/29/2023,68000,F,grace.mitchell@example.com,555-1120
22,Mason,Campbell,103,7/14/2022,72000,M,mason.campbell@example.com,555-6749
23,Chloe,Perez,102,3/10/2024,76000,F,chloe.perez@example.com,555-6750
24,Ryan,Roberts,101,4/25/2020,71000,M,ryan.roberts@example.com,555-2349
25,Ava,Evans,103,11/5/2023,69000,F,ava.evans@example.com,555-9823
26,Matthew,Turner,101,2/14/2024,70000,M,matthew.turner@example.com,555-9081
27,Lily,Bell,102,4/21/2021,72000,F,lily.bell@example.com,555-3547
28,Henry,Ward,103,11/20/2023,73000,M,henry.ward@example.com,555-8905
29,Amelia,Adams,101,9/11/2022,71000,F,amelia.adams@example.com,555-6781
30,Isaac,Clark,102,7/30/2020,76000,M,isaac.clark@example.com,555-7645
